<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.06	22:00:00	2118.82800	2119.87800	2097.70000	2110.28700	3180	0	246500
2021.04.06	23:00:00	2110.28700	2119.27800	2104.99200	2117.88000	1943	0	211900
2021.04.07	00:00:00	2117.88000	2119.27800	2082.91500	2108.58900	2160	0	212300
2021.04.07	01:00:00	2108.58900	2117.93000	2094.70300	2109.78800	2620	0	210000
2021.04.07	02:00:00	2109.78800	2117.88000	2103.89400	2108.38900	1654	0	237500
2021.04.07	03:00:00	2108.38900	2125.57200	2082.51500	2088.30900	1854	0	253700
2021.04.07	04:00:00	2088.30900	2098.57300	2075.32400	2093.00400	2717	0	208300
2021.04.07	05:00:00	2093.00400	2110.44600	2092.18700	2105.89200	1232	0	214800
2021.04.07	06:00:00	2105.29200	2111.78600	2098.19900	2101.19600	1826	0	211400
2021.04.07	07:00:00	2101.19600	2102.69500	2074.02300	2087.41000	3288	0	212300
2021.04.07	08:00:00	2087.41000	2101.19600	2076.42100	2097.99900	2332	0	233900
2021.04.07	09:00:00	2097.99900	2107.09000	2084.51300	2087.01000	3133	0	208800
2021.04.07	10:00:00	2087.01000	2087.01000	2065.24600	2072.69200	4018	0	206800
2021.04.07	11:00:00	2072.69200	2072.69200	2046.48700	2060.63700	2539	0	205500
2021.04.07	12:00:00	2060.63700	2062.50100	2017.98000	2049.84800	3942	0	202300
2021.04.07	13:00:00	2050.21000	2054.05700	1999.19800	2004.59300	4515	0	200400
2021.04.07	14:00:00	2004.54400	2018.03400	1955.94200	1975.02300	4174	0	197800
2021.04.07	15:00:00	1975.02300	1980.91700	1926.87100	1978.21900	2751	0	194900
2021.04.07	16:00:00	1978.21900	2003.89400	1970.62700	1998.19900	2523	0	259100
2021.04.07	17:00:00	1998.19900	2008.08900	1985.72100	1991.60800	3406	0	289300
2021.04.07	18:00:00	1992.00600	2004.59300	1969.42800	1974.62300	3829	0	257300
2021.04.07	19:00:00	1974.62300	2005.24300	1955.08900	1993.30300	3640	0	199600
2021.04.07	20:00:00	1993.40200	1994.58900	1957.14000	1962.43500	3174	0	199000
2021.04.07	21:00:00	1962.43500	1987.81000	1958.73900	1959.53800	3123	0	198300
2021.04.07	22:00:00	1959.53800	1980.61700	1934.36300	1980.61700	3641	0	213100
2021.04.07	23:00:00	1980.71700	1986.11100	1959.63800	1985.91200	2566	0	197200
2021.04.08	00:00:00	1985.91200	1995.70200	1976.22100	1994.70300	1040	0	199000
2021.04.08	01:00:00	1994.70300	2010.28700	1989.90800	2005.49200	1111	0	200500
2021.04.08	02:00:00	2005.49200	2010.38700	1957.18400	1961.93600	1512	0	196900
2021.04.08	03:00:00	1961.93600	1988.70900	1946.10900	1984.41300	2271	0	197000
2021.04.08	04:00:00	1984.41300	1995.30200	1976.12100	1989.50800	945	0	199400
2021.04.08	05:00:00	1989.50800	1993.90400	1979.41800	1993.30400	1037	0	228500
2021.04.08	06:00:00	1993.30400	1996.50100	1981.73000	1995.00300	909	0	259000
2021.04.08	07:00:00	1995.00300	2024.67300	1992.70600	2017.78000	1288	0	201700
2021.04.08	08:00:00	2017.78000	2023.07400	2002.49500	2009.98800	866	0	203100
2021.04.08	09:00:00	2009.98800	2019.87800	2007.99000	2016.48100	748	0	223000
2021.04.08	10:00:00	2016.48100	2030.86700	2012.18500	2026.17100	1036	0	201800
2021.04.08	11:00:00	2026.17100	2033.96400	2006.59100	2012.28500	1346	0	202500
2021.04.08	12:00:00	2012.28500	2020.17700	1993.00500	1999.44800	1553	0	199700
2021.04.08	13:00:00	1999.44800	2003.04500	1981.21600	1995.90200	1897	0	198500
2021.04.08	14:00:00	1995.90200	1999.89800	1987.91000	1994.30300	1521	0	199800
